ID_DISTRITO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,ID_MUNICIPIO,MUNICIPIO,DIST_LOC,LISTA_NOMINAL,PAN,PRI,PRD,PT,PVEM,PNA,MORENA,ES,PRI_PVEM_NA_ES,PRI_PVEM_NA,PRI_PVEM_ES,PRI_NA_ES,PRI_PVEM,PRI_NA,PRI_ES,PVEM_NA_ES,PVEM_NA,PVEM_ES,NA_ES,TERESA_CASTELL,NO_REGISTRADOS,NULOS,TOTAL_VOTOS,FECHA,HORA_LLAMADA,HORA_CAPTURA,ORIGEN_CAPTURA,CAE,CLAVE_AUT
20,3267,B,1,0,1,60,"NEZAHUALCOYOTL",24,502,4,32,176,0,4,2,40,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12,272,2017-06-04,20:57:23.049,20:59:19.616,cap-105,20-62,7281
40,4486,B,1,0,2,91,"TENANGO DEL VALLE",7,591,34,101,55,7,2,5,71,16,0,0,0,0,0,0,2,0,1,0,0,5,1,13,313,2017-06-04,20:55:54.466,20:59:10.044,cap-69,40-21,2580
16,4764,C,2,0,1,105,"TLALNEPANTLA DE BAZ",37,649,49,75,31,4,6,4,131,3,1,0,0,1,2,0,0,0,0,0,0,6,0,12,325,2017-06-04,20:57:26.724,20:59:09.751,cap-46,16-53,4699
29,3395,C,1,0,1,60,"NEZAHUALCOYOTL",24,582,9,62,115,0,3,6,91,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,303,2017-06-04,20:57:04.526,20:59:08.569,cap-1,29-7,9721
22,2577,B,1,0,1,58,"NAUCALPAN DE JUAREZ",32,427,97,45,23,0,2,0,91,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,271,2017-06-04,21:00:08.502,20:59:04.012,cap-101,22-27,4338
30,3465,C,1,0,1,60,"NEZAHUALCOYOTL",25,638,8,46,206,1,5,1,62,2,1,0,0,0,0,0,0,0,0,0,0,3,0,6,341,2017-06-04,20:56:36.850,20:58:49.968,cap-74,30-45,6942
19,5044,B,1,0,1,105,"TLALNEPANTLA DE BAZ",18,740,93,92,53,4,3,6,167,0,0,2,0,0,1,0,0,0,0,0,0,22,0,8,451,2017-06-04,20:55:10.114,20:58:38.647,cap-56,19-27,8204
28,4241,C,10,0,2,82,"TECAMAC",33,748,41,120,37,4,3,1,160,1,2,0,0,0,0,0,0,0,0,0,0,9,1,13,392,2017-06-04,21:05:37.122,20:58:36.673,cap-64,28-95,8552
10,1818,B,1,0,1,34,"ECATEPEC DE MORELOS",8,534,21,78,55,5,3,3,129,1,0,1,0,1,1,0,0,0,0,0,0,9,1,12,320,2017-06-04,20:56:08.707,20:58:11.558,cap-36,10-40,1353
20,3154,C,1,0,1,60,"NEZAHUALCOYOTL",24,564,6,45,103,2,1,2,95,1,1,1,0,0,0,1,0,0,0,0,0,3,0,5,266,2017-06-04,20:55:14.283,20:57:53.532,cap-94,20-26,9933
